Level,Group,Task,Model,Metric,Unit,AvailableFlightCount,MissingFlightCount,MeanOfFlightMetric,StdOfFlightMetric,MinFlightMetric,MaxFlightMetric,P50FlightMetric,P90FlightMetric,P95FlightMetric,Status
flight,const4-trial4-traj3,tdoa,raw,rmse_m,m,1,0,0.4638,0,0.4638,0.4638,0.4638,0.4638,0.4638,available
flight,const4-trial4-traj3,tdoa,fnn,rmse_m,m,1,0,0.3563,0,0.3563,0.3563,0.3563,0.3563,0.3563,available
flight,const4-trial4-traj3,tdoa,cnn1,rmse_m,m,1,0,0.3517,0,0.3517,0.3517,0.3517,0.3517,0.3517,available
flight,const4-trial4-traj3,tdoa,cnn2,rmse_m,m,1,0,0.3625,0,0.3625,0.3625,0.3625,0.3625,0.3625,available
flight,const4-trial4-traj3,tdoa,raw,mae_m,m,1,0,0.2926,0,0.2926,0.2926,0.2926,0.2926,0.2926,available
flight,const4-trial4-traj3,tdoa,fnn,mae_m,m,1,0,0.2103,0,0.2103,0.2103,0.2103,0.2103,0.2103,available
flight,const4-trial4-traj3,tdoa,cnn1,mae_m,m,1,0,0.2005,0,0.2005,0.2005,0.2005,0.2005,0.2005,available
flight,const4-trial4-traj3,tdoa,cnn2,mae_m,m,1,0,0.2092,0,0.2092,0.2092,0.2092,0.2092,0.2092,available
flight,const4-trial4-traj3,position,raw,rmse_m,m,1,0,0.7437,0,0.7437,0.7437,0.7437,0.7437,0.7437,available
flight,const4-trial4-traj3,position,fnn,rmse_m,m,1,0,0.4952,0,0.4952,0.4952,0.4952,0.4952,0.4952,available
flight,const4-trial4-traj3,position,cnn1,rmse_m,m,1,0,0.5032,0,0.5032,0.5032,0.5032,0.5032,0.5032,available
flight,const4-trial4-traj3,position,cnn2,rmse_m,m,1,0,0.5194,0,0.5194,0.5194,0.5194,0.5194,0.5194,available
flight,const4-trial4-traj3,position,raw,mae_m,m,0,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,unavailable
flight,const4-trial4-traj3,position,fnn,mae_m,m,0,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,unavailable
flight,const4-trial4-traj3,position,cnn1,mae_m,m,0,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,unavailable
flight,const4-trial4-traj3,position,cnn2,mae_m,m,0,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,unavailable
flight,const4-trial5-traj1,tdoa,raw,rmse_m,m,1,0,0.3524,0,0.3524,0.3524,0.3524,0.3524,0.3524,available
flight,const4-trial5-traj1,tdoa,fnn,rmse_m,m,1,0,0.2833,0,0.2833,0.2833,0.2833,0.2833,0.2833,available
flight,const4-trial5-traj1,tdoa,cnn1,rmse_m,m,1,0,0.2817,0,0.2817,0.2817,0.2817,0.2817,0.2817,available
flight,const4-trial5-traj1,tdoa,cnn2,rmse_m,m,1,0,0.2887,0,0.2887,0.2887,0.2887,0.2887,0.2887,available
flight,const4-trial5-traj1,tdoa,raw,mae_m,m,1,0,0.2205,0,0.2205,0.2205,0.2205,0.2205,0.2205,available
flight,const4-trial5-traj1,tdoa,fnn,mae_m,m,1,0,0.178,0,0.178,0.178,0.178,0.178,0.178,available
flight,const4-trial5-traj1,tdoa,cnn1,mae_m,m,1,0,0.166,0,0.166,0.166,0.166,0.166,0.166,available
